,ID,Params,Observations
0,19,"[0.04684089272337477, 0.45343801896437747]","[ 12.52296236  20.56867725  26.35576518  26.50542959  28.29503655
  28.82917913  33.97958085  39.82324212  42.08251736  42.17934487
  42.23806642  49.69505469  53.26927804  59.34914109  61.7862896
  62.87564176  64.99488125  66.22623126  68.9373597   72.43505587
 101.58256464 102.28090282 107.48836019 108.62470063 115.3836709
 119.10685234 121.39841423 123.00952803 125.58080166 136.77100638
 141.86548332 142.97293085 144.38120828 146.73646892 163.0985209
 175.20282708 182.83619429 183.47880455 184.44160417 196.25864479
 198.49920212 202.02757701 203.97484941 227.23671301 227.43302572
 247.30517913 248.48755335 252.11220204 256.86420546 269.54124343
 275.19858171 292.24159441 294.50005479 296.70906245 308.30790957
 315.92060255 317.38223317 328.88630579 345.51958748 347.01622289
 357.92777435]"
0,20,"[0.027044437731886712, 0.46635972027524425]","[  4.29220791  17.33510154  22.70562636  25.04383044  25.50548856
  27.59075221  40.83607636  44.05226399  47.20545107  51.95498646
  52.79211846  56.66531633  57.27047795  60.99152674  64.42332813
  67.79922245  73.33426506  77.7511713   96.51917779  97.85517565
 102.46272659 111.79182694 115.34893868 118.9397879  123.90566521
 124.2362149  125.83519847 128.8215207  139.38509697 146.39049259
 149.89304343 223.73201858 270.93862319 275.57413154 296.54889853
 306.13444555 320.19612121 321.54054453 329.71164807 360.        ]"
0,21,"[0.06675019399264645, 0.5224367198199008]","[ 16.9700638   20.00809367  30.58722433  60.26954501  75.91744667
  81.16414616  81.4828247   83.35218049  93.5278827   96.09995215
 105.09510832 108.40686459 115.36051769 115.8582934  132.04997806
 132.61627046 135.06249769 142.45760393 143.26485833 149.4014528
 153.27866731 172.38241682 181.52218141 182.08407008 201.42463043
 209.48652659 220.50656329 230.8505814  235.0750684  244.33546636
 249.26208565 273.68340951 276.41469162 297.85959124 299.36325679
 311.43925263 346.15003317 346.59181077 348.68256887 357.08727409
 360.        ]"
0,22,"[0.06193430838553631, 0.4655625513875214]","[  4.59064363  29.34118254  33.10082753  36.4136998   55.11153275
  59.08867811  61.27763255  68.07484092  68.45099733  87.44847248
  94.79812757  94.86027373  97.62373936  99.45032384 100.96075553
 104.80929005 106.37819655 110.70929885 126.75717458 129.82176924
 132.10812035 133.41335188 164.24588628 164.72897467 189.27858073
 220.51893619 255.68348884 276.45212577 278.91480968 291.43195896
 312.14533304 325.55942584 334.00019107 345.94338826 346.50574223
 347.07639801 347.42117331 350.58277474 351.88172746 357.04967132]"
0,23,"[0.04752179818268899, 0.4719728096077609]","[ 10.61815618  17.28113449  18.18985449  19.55953436  27.16003235
  28.14641297  28.56925641  28.88826272  43.19300171  43.38753958
  44.36184719  47.67031159  50.76250599  51.53465948  63.7407239
  74.05683148  76.94236579  77.55290069  81.33247836  84.03976947
  84.81903749  86.70701341  90.96877415 101.41217688 102.86332029
 104.20025759 118.46132693 120.29915621 122.65376865 136.18893553
 136.74498927 137.82375953 147.66267084 158.97371244 161.43062507
 163.24032715 172.06383539 174.45708175 181.96777385 182.25381342
 183.96607889 184.99307858 190.08477501 195.47559707 214.07867631
 215.41794818 227.32055556 228.6064876  262.1692123  278.38574985
 278.41709817 279.26724309 291.47605352 301.40537764 315.07311332
 348.86338427 352.24704428 357.33080476]"
0,24,"[0.03197607865092357, 0.49029251483155734]","[  3.26396163   8.63219266  12.01686694  26.65469736  30.45388774
  31.39555957  37.20890577  64.34577563  73.82232364  74.17881604
  81.13189289  83.45645663  83.54779176  87.16693521  90.36141297
 102.32179418 102.91055548 114.51770401 126.7426952  131.85856644
 132.49240861 133.10343124 133.46716409 137.2642968  137.71280584
 137.87929144 139.65020328 142.49971563 144.52600558 147.56928061
 149.86191962 150.06766799 174.93151868 180.8996303  185.96686022
 188.7368105  194.70613259 215.81460709 219.53461663 231.3018383
 234.3864771  237.16856386 244.97411617 252.44790766 252.57525844
 255.43594447 262.76693571 269.45985304 272.08038183 278.90713744
 294.51183822 314.00167913 343.68064121 346.5035677  346.86850358
 349.32982013 358.1158958  360.        ]"
0,25,"[0.02902314265657265, 0.4943055033024728]","[ 11.48529636  19.94717645  20.6086817   22.91648831  27.65070215
  29.09352613  30.68627276  33.01116534  35.56917897  39.73764249
  43.78809621  44.22194851  46.41677003  54.12636647  54.35672173
  58.84498088  62.10916753  65.34928064  66.27898581  67.28430607
  74.19346002  81.75801944  90.01230859  90.01893379  90.73614351
  90.90213433  96.22190073  97.30089646 107.24691846 113.78250014
 115.33721122 115.7974355  133.84931216 142.59491833 144.51425767
 144.5930093  147.54638758 147.58764758 149.02845959 161.19663006
 172.06583157 174.66194944 184.8720204  214.47288332 229.30281476
 241.67165303 253.22310313 269.17132995 312.85322993 336.8951542 ]"
0,26,"[0.07927852053437046, 0.5691406694772896]","[  4.36282618  11.89086581  28.27258235  31.59079562  44.02773078
  46.29212641  46.86330206  58.77981053  60.70641652  62.03744698
  62.62311372  65.56399401  65.8711566   76.9481554   82.089503
  85.27707088  88.16551954  89.02512509  92.08536629  99.48114964
 100.03624267 102.61473078 102.64768234 106.02007906 106.1122822
 106.35612467 109.05367429 110.40190462 111.37203128 112.41403719
 113.31916485 113.40968713 113.84169722 115.22993881 117.10359339
 119.69940849 120.11401888 126.50183719 132.46265885 135.33282234
 136.38390316 144.39232029 146.70112499 150.28527367 151.26434643
 162.64342259 184.07289963 196.64905305 197.38406445 230.38621404
 237.72259806 280.74218761 285.10920973 304.06306824 305.37840017
 340.47215651 345.21031836 357.75358657 358.60705815 360.        ]"
0,27,"[0.032751868191578805, 0.543320708544628]","[  1.76470837  16.55367164  18.58467871  24.52661108  24.92331891
  26.65888652  31.4144448   31.86434454  32.04597342  44.69746737
  48.9783968   54.85971273  54.99782681  67.39925952  70.28621389
  77.30936048  77.82170175  80.24436497  85.16830394  87.75856797
  88.93169055  88.96259731 101.01349097 101.25484859 106.22219538
 106.3045885  108.75898122 109.91707359 122.01574201 125.89651326
 133.67975106 134.66813699 134.7752338  135.97497957 136.83301761
 140.57603522 151.54429571 194.98859551 197.05691444 201.95851871
 215.21538686 229.156291   229.76525237 235.84738534 236.34860789
 238.03076781 238.79930437 252.4694579  283.82471721 286.832204
 296.47710109 317.82981794 346.49943815 347.77907519 352.89503473
 356.23844324]"
0,28,"[0.08646486454268348, 0.44903649187988576]","[ 15.99187287  17.06135506  18.33729779  24.53857028  30.18291363
  38.48169866  50.33643192  54.66217886  57.43707237  60.89556996
  64.47964106  65.21184818  89.39477833  96.36748923 100.63476466
 112.69295382 114.94952747 115.57532656 117.17298666 117.79395315
 119.44831819 120.99069315 121.41118245 125.37412467 127.08577568
 134.43841745 135.04938187 136.16188345 136.44360681 137.92891197
 143.50294976 148.01213948 149.67832672 150.2649147  160.29938294
 161.15399776 162.14056714 169.25402448 172.27803208 173.46530681
 177.05618503 177.10138936 180.07005127 184.56436138 191.07410535
 252.69536185 285.65924035 301.87575847 318.78751178 326.87364452
 340.49914041 352.3909635 ]"
0,29,"[0.052659533089563774, 0.4633932169642619]","[  9.98537901  18.38726897  30.74471273  39.1437819   53.97024803
  58.40596978  64.14183579  64.37228866  64.93708375  69.71938189
  72.57644967  91.45236178  94.2524788   97.82349522  97.89527298
  99.38686118 106.45654054 112.27359693 121.82922783 136.68159037
 138.1094184  138.65708138 139.61124895 140.0246178  142.04242674
 142.19936931 142.86248262 144.24174229 180.91974942 184.84174472
 194.83596517 211.40473954 236.2693878  262.92782674 278.2420658
 278.32652738 296.93549806 329.6279394  332.59422454 351.7538988 ]"
0,30,"[0.045229186053078435, 0.5345261884683865]","[  9.51538449   9.64724461  11.07803383  17.48936875  23.94880214
  27.87881135  34.0221768   43.34695712  60.81904621  64.3361905
  68.37666964  71.55104944  72.5918032   93.21239539  98.80586368
 109.83941135 110.12776221 112.13524732 119.8832506  119.99983337
 128.81794571 130.02320716 134.97772861 141.80715952 143.35124898
 147.14948716 148.12103812 162.95334912 164.65207785 165.76743747
 169.42607807 172.2445161  174.78341644 197.41597178 197.69650769
 225.36211596 230.10385763 252.36629631 255.6006146  259.40228214
 276.7194332  288.22538821 292.15504984 296.04538215 298.78301916
 299.27096027 303.37675256 313.62483677 326.88378026 344.41219083
 360.        ]"
0,31,"[0.050631807529764816, 0.4663932805520762]","[  3.17665153  38.92924231  59.06516056  72.81390376  74.96849448
  85.94885864  87.25487051  88.36834376 100.4655498  104.96475275
 106.05826708 107.26855108 107.40987232 115.23674503 118.7889501
 123.44919134 127.52564801 128.66626136 142.97282776 147.3440552
 147.71290959 152.15049323 167.99505684 178.28918113 185.80593672
 201.41790049 203.93495219 206.97281117 207.95203738 208.34729942
 227.32556226 256.13336094 258.53758971 269.20879951 290.54170779
 291.69654511 310.47755932 331.54602226 346.09813219 352.3689671 ]"
0,32,"[0.023651502876472715, 0.4802586597658956]","[  8.21142074  34.57467361  35.48745077  47.06104712  50.108236
  55.83249123  56.58097326  62.95189354  63.08010223  68.19197423
  68.21049928  72.49718392  73.25128627  82.69913808  84.11653301
  90.73688532  91.44416003  95.71665895  98.55462319 102.13431015
 102.54076116 105.86882571 108.446483   111.53707677 124.95581438
 125.88691662 126.45001079 131.64838944 145.44296517 149.61995548
 153.49880193 154.54263119 172.032007   178.4787745  180.06351946
 207.67090264 208.11035779 215.24580757 242.14981557 255.40142668
 291.41073079 294.44507274 346.99433725 353.15880764 360.        ]"
0,33,"[0.1105905375515889, 0.5017891661100774]","[  6.50232066  13.02541569  33.26381828  34.12800392  34.69681798
  41.4553321   57.64356953  59.69324716  63.78111172  78.48524135
  78.80552456  79.05375616  80.04057546  80.43619328  91.0034814
  92.67345437  94.49563372 101.40995214 108.25231615 111.98896789
 114.1083469  132.02699835 142.53812938 144.10958316 147.88734048
 148.21303574 153.59829615 168.3273221  179.10879097 201.82377304
 204.53701964 209.71275073 252.87282841 274.78182152 284.88885027
 298.01557215 311.25053123 331.57268462 335.24462939 346.06970807
 352.09943397]"
0,34,"[0.01594534695137684, 0.607360053396184]","[  4.1526215    4.69095504  33.44997622  37.41131003  47.88926515
  55.86323338  57.78405447  64.97849136  66.23465552  69.28232055
  73.40846949  76.86670571  82.43790734  82.84533127  82.84948595
  83.72449702  89.61148672  92.91050994  98.67322422  99.59884863
 104.45451114 107.1728884  107.36454202 108.93197252 116.74836353
 125.51481729 131.11624536 132.58578388 132.63312645 137.64794302
 145.95168615 152.1827945  155.19757611 166.39593252 176.54107542
 180.64804718 180.90301319 184.13498571 218.20692604 233.32517064
 250.34928611 252.12003632 256.10378039 257.96405525 263.00871904
 328.42763002 337.5941877  345.11742065 348.48474353 357.11351516]"
0,35,"[0.07795141343685853, 0.5237534381547908]","[  6.74155091  11.41209756  17.80851107  34.47981749  37.83852392
  41.27695117  42.25113402  43.46083873  50.89251513  53.32682292
  58.15882108  71.40808092  77.71723745  79.11977875  79.45401727
  82.94088812  86.8571031   87.8241615   97.37696919  98.15704712
 100.38586123 102.36461927 102.54724624 103.49475245 105.63265992
 109.25216228 109.56431559 117.3250991  119.4235844  120.27465816
 127.0569947  130.71119369 132.82398543 136.93775239 139.84948985
 141.98892965 145.81091656 148.34237789 149.56737552 157.29315215
 166.489973   168.51336822 173.31399609 178.23664191 184.58268473
 184.78746946 199.36814843 207.55651527 255.90048331 256.5502708
 259.5691572  262.67511275 296.15779393 296.23944805 298.70484466
 299.56758227 314.73962657 320.1222562  322.35978796 353.54126737
 355.9679573 ]"
0,36,"[0.0590426549546944, 0.499970440159733]","[  2.69006465  11.15536822  25.78903944  34.78195495  35.00857577
  36.93550751  38.49138749  38.5393487   39.34421102  40.25897007
  45.99732308  50.12813802  56.31110138  59.17772064  62.46294958
  69.69823471  71.64349608  72.50426826  76.74874382  78.94050035
  82.54490028  83.72075032  87.00306377  90.6060406   93.08226679
  97.653723   102.19347123 113.55961389 118.01743516 131.81189969
 132.80195987 142.21613302 142.44997875 155.03682172 155.20960713
 155.84299331 157.69483463 160.40933367 165.13959859 165.8768887
 166.16256067 189.35457587 201.75268195 224.96536069 293.23201246
 294.87389588 323.01543917 323.48885974 324.6397315  345.49573988
 349.01346741 352.48389261 360.        ]"
0,37,"[0.08397605711242827, 0.5469883232349517]","[  2.01838737   7.59377874   9.61261426  16.39029703  17.08863202
  20.57120514  25.16932956  32.70636583  36.39342663  41.44135101
  43.00998772  43.28400396  46.60715736  52.71079024  53.69273527
  54.97125888  73.25398044  73.60178853  83.9067071   89.0194528
  93.18456172  94.35761642 100.93389768 101.10721395 106.80766173
 107.26398745 111.3819253  111.52295264 112.30525983 120.21461901
 121.73800897 122.45411928 122.81822841 124.62519015 133.37906123
 133.39068594 136.23706583 140.25365948 143.64594739 148.20734738
 152.17891325 153.96785072 157.05746741 158.07535405 158.07874703
 158.84614425 175.93662082 179.97616046 185.01885764 191.87702102
 208.80863693 255.22771051 255.23846137 255.54122027 294.06247219
 300.45439845 321.83451751 329.21520806 345.79527827 347.70313415]"
0,38,"[0.043506620358286834, 0.565990523896677]","[ 16.01541702  50.93170938  52.63141495  63.43372803  68.44935036
  79.7140581   84.05289306  94.48738784  99.49199373  99.97864994
 101.51793619 110.29941664 122.68556398 131.77234335 137.52130178
 144.58458648 148.79312114 159.93717957 164.11141564 179.80609648
 182.76317411 236.61734973 270.38140424 317.00829604 324.23584201]"
0,39,"[0.03199192377684306, 0.4914129162521579]","[ 18.43971872  23.36048877  28.29184179  51.12790358  64.62923417
  66.78375035  66.98516809  69.30052466  70.74171988  76.06003801
  77.65047929  80.70619093  82.92375554  84.62654636  90.22414561
  92.81813308  93.99172783  95.7838133   99.38446584 103.0810162
 106.14901758 114.14680972 116.00457078 124.16442353 127.67650706
 141.83243551 172.28760873 214.68702407 237.80547159 248.30406507
 249.43478627 291.28682206 299.90313837 299.9294088  312.76520955
 315.68290609 318.20930918 321.2966641  333.54116562 347.46144641
 347.538409   350.44454761 360.        ]"
0,40,"[0.09495190957467006, 0.5155352356850902]","[  2.39126621   2.64988702  23.83946827  28.06982916  38.44367871
  44.05107057  44.068065    46.03565104  64.14957704  71.27540948
  73.76611222  77.70443323  81.09354783  81.51055148  81.82796158
  83.07704647  84.24908863  84.53535892  86.53343336  87.38867952
  91.25110853  91.64002394  97.97074921  99.38159144 103.44109882
 111.25592029 111.28039703 132.78996439 133.14887225 140.10559936
 150.8802089  155.65889658 156.14114894 169.8249497  175.63534606
 184.1317669  213.56968037 216.42603962 248.55336721 249.14632193
 284.44939171 303.96642755 313.4944368  324.92105579 337.74290837
 350.29986871 352.80991639 354.02572571 356.05367673 360.        ]"
